,รายการ,สถานะ (Status),ผู้ตรวจสอบ (Inspector),ข้อแนะนำ/แก้ไข
,2) Format เล่มรายงาน,,,
1,ก่อนส่งทุกครั้ง ตรวจสอบ Format ด้วย (ถ้า Format พังก็ไม่สามารถตรวจได้ ทำให้อาจต้องแก้หลายๆครั้ง),สำเร็จ,,
2,หน้าปก การตั้งค่าหน้ากระดาษ หน้าทั่วไป (บน ซ้าย 1.5 นิ้ว ล่าง ขวา 1 นิ้ว),สำเร็จ,,แก้ margin เป็น (top: 3.81cm, bottom: 2.54cm, left: 3.81cm, right: 2.54cm) ตาม spec 1.5 inch = 3.81cm, 1 inch = 2.54cm
3,รูปโลโก้มหาวิทยาลัยสีดำ 1.5 x 1.5 นิ้ว,สำเร็จ,,ปรับขนาดเป็น 1.5x1.5 inch ในหน้าปกไทยและอังกฤษแล้ว (ยังคงเป็น .webp)
4,ปกภาษาไทย (บน ล่าง ซ้าย ขวา 1.5 นิ้ว) (ตัวอักษร TH SarabunPSK ),สำเร็จ,,ใช้ TH Sarabun New (ใกล้เคียง)
5,ปกภาษาไทย - ชื่อระบบ ไม่ซ้ำกัน และไม่ยาวจนเกินไป (ปรึกษาที่ปรึกษา),สำเร็จ,,
6,ปกภาษาไทย ขนาดตัวอักษร/ข้อมูลเป็นไปตามที่กำหนด (สังเกตุ พ.ศ. /ไม่มีที่อยู่),สำเร็จ,,
7,ปกภาษาอังกฤษ (บน ล่าง ซ้าย ขวา 1.5 นิ้ว) (ตัวอักษร TH SarabunPSK ),สำเร็จ,,
8,ปกภาษาอังกฤษ - ชื่อระบบภาษาอังกฤษ ถูกต้อง (พี่เลี้ยงยืนยันแล้ว),สำเร็จ,,
9,ปกภาษาอังกฤษ ขนาดตัวอักษร/ข้อมูลเป็นไปตามที่กำหนด (สังเกตุ ค.ศ.),สำเร็จ,,
10,จดหมายนำส่ง - ชื่อสถานที่ปฏิบัติงาน และงานที่ได้รับมอบหมายให้ถูกต้อง,ไม่มี,,
